Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		81
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_LOC		81
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		81
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
